Code,Description
A07.4,Cyclosporiasis
A07.8,Other specified protozoal intestinal diseases
A07.9,"Protozoal intestinal disease, unspecified"
A08.0,Rotaviral enteritis
A08.11,Acute gastroenteropathy due to Norwalk agent
A08.19,Acute gastroenteropathy due to other small round viruses
A08.2,Adenoviral enteritis
A08.31,Calicivirus enteritis
A08.32,Astrovirus enteritis
A08.39,Other viral enteritis
A08.4,"Viral intestinal infection, unspecified"
A08.8,Other specified intestinal infections
A09,"Infectious gastroenteritis and colitis, unspecified"
A15.0,Tuberculosis of lung
A15.4,Tuberculosis of intrathoracic lymph nodes
A15.5,"Tuberculosis of larynx, trachea and bronchus"
A15.6,Tuberculous pleurisy
A15.7,Primary respiratory tuberculosis
A15.8,Other respiratory tuberculosis
A15.9,Respiratory tuberculosis unspecified
A17.0,Tuberculous meningitis
A17.1,Meningeal tuberculoma
A17.81,Tuberculoma of brain and spinal cord
A17.82,Tuberculous meningoencephalitis
A17.83,Tuberculous neuritis
A17.89,Other tuberculosis of nervous system
A17.9,"Tuberculosis of nervous system, unspecified"
A18.01,Tuberculosis of spine
A18.02,Tuberculous arthritis of other joints
A18.03,Tuberculosis of other bones
A18.09,Other musculoskeletal tuberculosis
A18.10,"Tuberculosis of genitourinary system, unspecified"
A18.11,Tuberculosis of kidney and ureter
A18.12,Tuberculosis of bladder
A18.13,Tuberculosis of other urinary organs
A18.14,Tuberculosis of prostate
A18.15,Tuberculosis of other male genital organs
A18.16,Tuberculosis of cervix
A18.17,Tuberculous female pelvic inflammatory disease
A18.18,Tuberculosis of other female genital organs
A18.2,Tuberculous peripheral lymphadenopathy
A18.31,Tuberculous peritonitis
A18.32,Tuberculous enteritis
A18.39,Retroperitoneal tuberculosis
A18.4,Tuberculosis of skin and subcutaneous tissue
A18.50,"Tuberculosis of eye, unspecified"
A18.51,Tuberculous episcleritis
A18.52,Tuberculous keratitis
A18.53,Tuberculous chorioretinitis
A18.54,Tuberculous iridocyclitis
A18.59,Other tuberculosis of eye
A18.6,Tuberculosis of (inner) (middle) ear
A18.7,Tuberculosis of adrenal glands
A18.81,Tuberculosis of thyroid gland
A18.82,Tuberculosis of other endocrine glands
A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified"
A18.84,Tuberculosis of heart
A18.85,Tuberculosis of spleen
A18.89,Tuberculosis of other sites
A19.0,Acute miliary tuberculosis of a single specified site
A19.1,Acute miliary tuberculosis of multiple sites
A19.2,"Acute miliary tuberculosis, unspecified"
A19.8,Other miliary tuberculosis
A19.9,"Miliary tuberculosis, unspecified"
A20.0,Bubonic plague
A20.1,Cellulocutaneous plague
A20.2,Pneumonic plague
A20.3,Plague meningitis
A20.7,Septicemic plague
A20.8,Other forms of plague
A20.9,"Plague, unspecified"
A21.0,Ulceroglandular tularemia
A21.1,Oculoglandular tularemia
A21.2,Pulmonary tularemia
A21.3,Gastrointestinal tularemia
A21.7,Generalized tularemia
A21.8,Other forms of tularemia
A21.9,"Tularemia, unspecified"
A22.0,Cutaneous anthrax
A22.1,Pulmonary anthrax
A22.2,Gastrointestinal anthrax
A22.7,Anthrax sepsis
A22.8,Other forms of anthrax
A22.9,"Anthrax, unspecified"
A23.0,Brucellosis due to Brucella melitensis
A23.1,Brucellosis due to Brucella abortus
A23.2,Brucellosis due to Brucella suis
A23.3,Brucellosis due to Brucella canis
A23.8,Other brucellosis
A23.9,"Brucellosis, unspecified"
A24.0,Glanders
A24.1,Acute and fulminating melioidosis
A24.2,Subacute and chronic melioidosis
A24.3,Other melioidosis
A24.9,"Melioidosis, unspecified"
A25.0,Spirillosis
A25.1,Streptobacillosis
A25.9,"Rat-bite fever, unspecified"
A26.0,Cutaneous erysipeloid
A26.7,Erysipelothrix sepsis
A26.8,Other forms of erysipeloid
A26.9,"Erysipeloid, unspecified"
A27.0,Leptospirosis icterohemorrhagica
A27.81,Aseptic meningitis in leptospirosis
A27.89,Other forms of leptospirosis
A27.9,"Leptospirosis, unspecified"
A28.0,Pasteurellosis
A28.1,Cat-scratch disease
A28.2,Extraintestinal yersiniosis
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A28.9,"Zoonotic bacterial disease, unspecified"
A30.0,Indeterminate leprosy
A30.1,Tuberculoid leprosy
A30.2,Borderline tuberculoid leprosy
A30.3,Borderline leprosy
A30.4,Borderline lepromatous leprosy
A30.5,Lepromatous leprosy
A30.8,Other forms of leprosy
A30.9,"Leprosy, unspecified"
A31.0,Pulmonary mycobacterial infection
A31.1,Cutaneous mycobacterial infection
A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC)
A31.8,Other mycobacterial infections
A31.9,"Mycobacterial infection, unspecified"
A32.0,Cutaneous listeriosis
A32.11,Listerial meningitis
A32.12,Listerial meningoencephalitis
A32.7,Listerial sepsis
A32.81,Oculoglandular listeriosis
A32.82,Listerial endocarditis
A32.89,Other forms of listeriosis
A32.9,"Listeriosis, unspecified"
A33,Tetanus neonatorum
A34,Obstetrical tetanus
A35,Other tetanus
A36.0,Pharyngeal diphtheria
A36.1,Nasopharyngeal diphtheria
A36.2,Laryngeal diphtheria
A36.3,Cutaneous diphtheria
A36.81,Diphtheritic cardiomyopathy
A36.82,Diphtheritic radiculomyelitis
A36.83,Diphtheritic polyneuritis
A36.84,Diphtheritic tubulo-interstitial nephropathy
A36.85,Diphtheritic cystitis
A36.86,Diphtheritic conjunctivitis
A36.89,Other diphtheritic complications
A36.9,"Diphtheria, unspecified"
A37.00,Whooping cough due to Bordetella pertussis without pneumonia
A37.01,Whooping cough due to Bordetella pertussis with pneumonia
A37.10,Whooping cough due to Bordetella parapertussis without pneumonia
A37.11,Whooping cough due to Bordetella parapertussis with pneumonia
A37.80,Whooping cough due to other Bordetella species without pneumonia
A37.81,Whooping cough due to other Bordetella species with pneumonia
A37.90,"Whooping cough, unspecified species without pneumonia"
A37.91,"Whooping cough, unspecified species with pneumonia"
A38.0,Scarlet fever with otitis media
A38.1,Scarlet fever with myocarditis
A38.8,Scarlet fever with other complications
A38.9,"Scarlet fever, uncomplicated"
A39.0,Meningococcal meningitis
A39.1,Waterhouse-Friderichsen syndrome
A39.2,Acute meningococcemia
A39.3,Chronic meningococcemia
A39.4,"Meningococcemia, unspecified"
A39.50,"Meningococcal carditis, unspecified"
A39.51,Meningococcal endocarditis
A39.52,Meningococcal myocarditis
A39.53,Meningococcal pericarditis
A39.81,Meningococcal encephalitis
A39.82,Meningococcal retrobulbar neuritis
A39.83,Meningococcal arthritis
A39.84,Postmeningococcal arthritis
A39.89,Other meningococcal infections
A39.9,"Meningococcal infection, unspecified"
A40.0,"Sepsis due to streptococcus, group A"
A40.1,"Sepsis due to streptococcus, group B"
A40.3,Sepsis due to Streptococcus pneumoniae
A40.8,Other streptococcal sepsis
A40.9,"Streptococcal sepsis, unspecified"
A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1,Sepsis due to other specified staphylococcus
A41.2,Sepsis due to unspecified staphylococcus
A41.3,Sepsis due to Hemophilus influenzae
A41.4,Sepsis due to anaerobes
A41.50,"Gram-negative sepsis, unspecified"
A41.51,Sepsis due to Escherichia coli [E. coli]
A41.52,Sepsis due to Pseudomonas
A41.53,Sepsis due to Serratia
A41.54,Sepsis due to Acinetobacter baumannii
A41.59,Other Gram-negative sepsis
A41.81,Sepsis due to Enterococcus
A41.89,Other specified sepsis
A41.9,"Sepsis, unspecified organism"
A42.0,Pulmonary actinomycosis
A42.1,Abdominal actinomycosis
A42.2,Cervicofacial actinomycosis
A42.7,Actinomycotic sepsis
A42.81,Actinomycotic meningitis
A42.82,Actinomycotic encephalitis
A42.89,Other forms of actinomycosis
A42.9,"Actinomycosis, unspecified"
A43.0,Pulmonary nocardiosis
A43.1,Cutaneous nocardiosis
A43.8,Other forms of nocardiosis
A43.9,"Nocardiosis, unspecified"
A44.0,Systemic bartonellosis
A44.1,Cutaneous and mucocutaneous bartonellosis
A44.8,Other forms of bartonellosis
A44.9,"Bartonellosis, unspecified"
A46,Erysipelas
A48.0,Gas gangrene
A48.1,Legionnaires' disease
A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever]
A48.3,Toxic shock syndrome
A48.4,Brazilian purpuric fever
A48.51,Infant botulism
A48.52,Wound botulism
A48.8,Other specified bacterial diseases
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A49.1,"Streptococcal infection, unspecified site"
A49.2,"Hemophilus influenzae infection, unspecified site"
A49.3,"Mycoplasma infection, unspecified site"
A49.8,Other bacterial infections of unspecified site
A49.9,"Bacterial infection, unspecified"
A50.01,Early congenital syphilitic oculopathy
A50.02,Early congenital syphilitic osteochondropathy
A50.03,Early congenital syphilitic pharyngitis
A50.04,Early congenital syphilitic pneumonia
A50.05,Early congenital syphilitic rhinitis
A50.06,Early cutaneous congenital syphilis
A50.07,Early mucocutaneous congenital syphilis
A50.08,Early visceral congenital syphilis
A50.09,"Other early congenital syphilis, symptomatic"
A50.1,"Early congenital syphilis, latent"
A50.2,"Early congenital syphilis, unspecified"
A50.30,"Late congenital syphilitic oculopathy, unspecified"
A50.31,Late congenital syphilitic interstitial keratitis
A50.32,Late congenital syphilitic chorioretinitis
A50.39,Other late congenital syphilitic oculopathy
A50.40,"Late congenital neurosyphilis, unspecified"
A50.41,Late congenital syphilitic meningitis
A50.42,Late congenital syphilitic encephalitis
A50.43,Late congenital syphilitic polyneuropathy
A50.44,Late congenital syphilitic optic nerve atrophy
A50.45,Juvenile general paresis
A50.49,Other late congenital neurosyphilis
A50.51,Clutton's joints
A50.52,Hutchinson's teeth
A50.53,Hutchinson's triad
A50.54,Late congenital cardiovascular syphilis
A50.55,Late congenital syphilitic arthropathy
A50.56,Late congenital syphilitic osteochondropathy
A50.57,Syphilitic saddle nose
A50.59,"Other late congenital syphilis, symptomatic"
A50.6,"Late congenital syphilis, latent"
A50.7,"Late congenital syphilis, unspecified"
A50.9,"Congenital syphilis, unspecified"
A51.0,Primary genital syphilis
A51.1,Primary anal syphilis
A51.2,Primary syphilis of other sites
A51.31,Condyloma latum
A51.32,Syphilitic alopecia
A51.39,Other secondary syphilis of skin
A51.41,Secondary syphilitic meningitis
A51.42,Secondary syphilitic female pelvic disease
A51.43,Secondary syphilitic oculopathy
A51.44,Secondary syphilitic nephritis
A51.45,Secondary syphilitic hepatitis
A51.46,Secondary syphilitic osteopathy
A51.49,Other secondary syphilitic conditions
A51.5,"Early syphilis, latent"
A51.9,"Early syphilis, unspecified"
A52.00,"Cardiovascular syphilis, unspecified"
A52.01,Syphilitic aneurysm of aorta
A52.02,Syphilitic aortitis
A52.03,Syphilitic endocarditis
A52.04,Syphilitic cerebral arteritis
A52.05,Other cerebrovascular syphilis
A52.06,Other syphilitic heart involvement
A52.09,Other cardiovascular syphilis
A52.10,"Symptomatic neurosyphilis, unspecified"
A52.11,Tabes dorsalis
A52.12,Other cerebrospinal syphilis
A52.13,Late syphilitic meningitis
A52.14,Late syphilitic encephalitis
A52.15,Late syphilitic neuropathy
A52.16,Charcot's arthropathy (tabetic)
A52.17,General paresis
A52.19,Other symptomatic neurosyphilis
A52.2,Asymptomatic neurosyphilis
A52.3,"Neurosyphilis, unspecified"
A52.71,Late syphilitic oculopathy
A52.72,Syphilis of lung and bronchus
A52.73,Symptomatic late syphilis of other respiratory organs
A52.74,Syphilis of liver and other viscera
A52.75,Syphilis of kidney and ureter
A52.76,Other genitourinary symptomatic late syphilis
A52.77,Syphilis of bone and joint
A52.78,Syphilis of other musculoskeletal tissue
A52.79,Other symptomatic late syphilis
A52.8,"Late syphilis, latent"
A52.9,"Late syphilis, unspecified"
A53.0,"Latent syphilis, unspecified as early or late"
A53.9,"Syphilis, unspecified"
A54.00,"Gonococcal infection of lower genitourinary tract, unspecified"
A54.01,"Gonococcal cystitis and urethritis, unspecified"
A54.02,"Gonococcal vulvovaginitis, unspecified"
A54.03,"Gonococcal cervicitis, unspecified"
A54.09,Other gonococcal infection of lower genitourinary tract
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54.21,Gonococcal infection of kidney and ureter
A54.22,Gonococcal prostatitis
A54.23,Gonococcal infection of other male genital organs
A54.24,Gonococcal female pelvic inflammatory disease
A54.29,Other gonococcal genitourinary infections
A54.30,"Gonococcal infection of eye, unspecified"
A54.31,Gonococcal conjunctivitis
A54.32,Gonococcal iridocyclitis
A54.33,Gonococcal keratitis
A54.39,Other gonococcal eye infection
A54.40,"Gonococcal infection of musculoskeletal system, unspecified"
A54.41,Gonococcal spondylopathy
A54.42,Gonococcal arthritis
A54.43,Gonococcal osteomyelitis
A54.49,Gonococcal infection of other musculoskeletal tissue
A54.5,Gonococcal pharyngitis
A54.6,Gonococcal infection of anus and rectum
A54.81,Gonococcal meningitis
A54.82,Gonococcal brain abscess
A54.83,Gonococcal heart infection
A54.84,Gonococcal pneumonia
A54.85,Gonococcal peritonitis
A54.86,Gonococcal sepsis
A54.89,Other gonococcal infections
A54.9,"Gonococcal infection, unspecified"
A55,Chlamydial lymphogranuloma (venereum)
A56.00,"Chlamydial infection of lower genitourinary tract, unspecified"
A56.01,Chlamydial cystitis and urethritis
A56.02,Chlamydial vulvovaginitis
A56.09,Other chlamydial infection of lower genitourinary tract
A56.11,Chlamydial female pelvic inflammatory disease
A56.19,Other chlamydial genitourinary infection
A56.2,"Chlamydial infection of genitourinary tract, unspecified"
A56.3,Chlamydial infection of anus and rectum
A56.4,Chlamydial infection of pharynx
A56.8,Sexually transmitted chlamydial infection of other sites
A57,Chancroid
A58,Granuloma inguinale
A59.00,"Urogenital trichomoniasis, unspecified"
A59.01,Trichomonal vulvovaginitis
A59.02,Trichomonal prostatitis
A59.03,Trichomonal cystitis and urethritis
A59.09,Other urogenital trichomoniasis
A59.8,Trichomoniasis of other sites
A59.9,"Trichomoniasis, unspecified"
A60.00,"Herpesviral infection of urogenital system, unspecified"
A60.01,Herpesviral infection of penis
A60.02,Herpesviral infection of other male genital organs
A60.03,Herpesviral cervicitis
A60.04,Herpesviral vulvovaginitis
A60.09,Herpesviral infection of other urogenital tract
A60.1,Herpesviral infection of perianal skin and rectum
A60.9,"Anogenital herpesviral infection, unspecified"
A63.0,Anogenital (venereal) warts
A63.8,Other specified predominantly sexually transmitted diseases
A64,Unspecified sexually transmitted disease
A65,Nonvenereal syphilis
A66.0,Initial lesions of yaws
A66.1,Multiple papillomata and wet crab yaws
A66.2,Other early skin lesions of yaws
A66.3,Hyperkeratosis of yaws
A66.4,Gummata and ulcers of yaws
A66.5,Gangosa
A66.6,Bone and joint lesions of yaws
A66.7,Other manifestations of yaws
A66.8,Latent yaws
A66.9,"Yaws, unspecified"
A67.0,Primary lesions of pinta
A67.1,Intermediate lesions of pinta
A67.2,Late lesions of pinta
A67.3,Mixed lesions of pinta
A67.9,"Pinta, unspecified"
A68.0,Louse-borne relapsing fever
A68.1,Tick-borne relapsing fever
A68.9,"Relapsing fever, unspecified"
A69.0,Necrotizing ulcerative stomatitis
A69.1,Other Vincent's infections
A69.20,"Lyme disease, unspecified"
A69.21,Meningitis due to Lyme disease
A69.22,Other neurologic disorders in Lyme disease
A69.23,Arthritis due to Lyme disease
A69.29,Other conditions associated with Lyme disease
A69.8,Other specified spirochetal infections
A69.9,"Spirochetal infection, unspecified"
A70,Chlamydia psittaci infections
A71.0,Initial stage of trachoma
A71.1,Active stage of trachoma
A71.9,"Trachoma, unspecified"
A74.0,Chlamydial conjunctivitis
A74.81,Chlamydial peritonitis
A74.89,Other chlamydial diseases
A74.9,"Chlamydial infection, unspecified"
A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A75.1,Recrudescent typhus [Brill's disease]
A75.2,Typhus fever due to Rickettsia typhi
A75.3,Typhus fever due to Rickettsia tsutsugamushi
A75.9,"Typhus fever, unspecified"
A77.0,Spotted fever due to Rickettsia rickettsii
A77.1,Spotted fever due to Rickettsia conorii
A77.2,Spotted fever due to Rickettsia siberica
A77.3,Spotted fever due to Rickettsia australis
A77.40,"Ehrlichiosis, unspecified"
A77.41,Ehrlichiosis chaffeensis [E. chaffeensis]
A77.49,Other ehrlichiosis
A77.8,Other spotted fevers
A77.9,"Spotted fever, unspecified"
A78,Q fever
A79.0,Trench fever
A79.1,Rickettsialpox due to Rickettsia akari
A79.81,Rickettsiosis due to Ehrlichia sennetsu
A79.82,Anaplasmosis [A. phagocytophilum]
A79.89,Other specified rickettsioses
A79.9,"Rickettsiosis, unspecified"
A80.0,"Acute paralytic poliomyelitis, vaccine-associated"
A80.1,"Acute paralytic poliomyelitis, wild virus, imported"
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous"
A80.30,"Acute paralytic poliomyelitis, unspecified"
A80.39,Other acute paralytic poliomyelitis
A80.4,Acute nonparalytic poliomyelitis
A80.9,"Acute poliomyelitis, unspecified"
A81.00,"Creutzfeldt-Jakob disease, unspecified"
A81.01,Variant Creutzfeldt-Jakob disease
C00.0,Malignant neoplasm of external upper lip
C00.1,Malignant neoplasm of external lower lip
C00.2,"Malignant neoplasm of external lip, unspecified"
C00.3,"Malignant neoplasm of upper lip, inner aspect"
C00.4,"Malignant neoplasm of lower lip, inner aspect"
C00.5,"Malignant neoplasm of lip, unspecified, inner aspect"
C00.6,"Malignant neoplasm of commissure of lip, unspecified"
C00.8,Malignant neoplasm of overlapping sites of lip
C00.9,"Malignant neoplasm of lip, unspecified"
C01,Malignant neoplasm of base of tongue
C02.0,Malignant neoplasm of dorsal surface of tongue
C02.1,Malignant neoplasm of border of tongue
C02.2,Malignant neoplasm of ventral surface of tongue
C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
C02.4,Malignant neoplasm of lingual tonsil
C02.8,Malignant neoplasm of overlapping sites of tongue
C02.9,"Malignant neoplasm of tongue, unspecified"
C03.0,Malignant neoplasm of upper gum
C03.1,Malignant neoplasm of lower gum
C03.9,"Malignant neoplasm of gum, unspecified"
C04.0,Malignant neoplasm of anterior floor of mouth
C04.1,Malignant neoplasm of lateral floor of mouth
C04.8,Malignant neoplasm of overlapping sites of floor of mouth
C04.9,"Malignant neoplasm of floor of mouth, unspecified"
C05.0,Malignant neoplasm of hard palate
C05.1,Malignant neoplasm of soft palate
C05.2,Malignant neoplasm of uvula
C05.8,Malignant neoplasm of overlapping sites of palate
C05.9,"Malignant neoplasm of palate, unspecified"
C06.0,Malignant neoplasm of cheek mucosa
C06.1,Malignant neoplasm of vestibule of mouth
C06.2,Malignant neoplasm of retromolar area
C06.80,Malignant neoplasm of overlapping sites of unspecified parts of mouth
C06.89,Malignant neoplasm of overlapping sites of other parts of mouth
C06.9,"Malignant neoplasm of mouth, unspecified"
C07,Malignant neoplasm of parotid gland
C08.0,Malignant neoplasm of submandibular gland
C08.1,Malignant neoplasm of sublingual gland
C08.9,"Malignant neoplasm of major salivary gland, unspecified"
C09.0,Malignant neoplasm of tonsillar fossa
C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior)
C09.8,Malignant neoplasm of overlapping sites of tonsil
C09.9,"Malignant neoplasm of tonsil, unspecified"
C10.0,Malignant neoplasm of vallecula
C10.1,Malignant neoplasm of anterior surface of epiglottis
C10.2,Malignant neoplasm of lateral wall of oropharynx
C10.3,Malignant neoplasm of posterior wall of oropharynx
C10.4,Malignant neoplasm of branchial cleft
C10.8,Malignant neoplasm of overlapping sites of oropharynx
C10.9,"Malignant neoplasm of oropharynx, unspecified"
C11.0,Malignant neoplasm of superior wall of nasopharynx
C11.1,Malignant neoplasm of posterior wall of nasopharynx
C11.2,Malignant neoplasm of lateral wall of nasopharynx
C11.3,Malignant neoplasm of anterior wall of nasopharynx
C11.8,Malignant neoplasm of overlapping sites of nasopharynx
C11.9,"Malignant neoplasm of nasopharynx, unspecified"
C12,Malignant neoplasm of pyriform sinus
C13.0,Malignant neoplasm of postcricoid region
C13.1,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"
C13.2,Malignant neoplasm of posterior wall of hypopharynx
C13.8,Malignant neoplasm of overlapping sites of hypopharynx
C13.9,"Malignant neoplasm of hypopharynx, unspecified"
C14.0,"Malignant neoplasm of pharynx, unspecified"
C14.2,Malignant neoplasm of Waldeyer's ring
C14.8,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx"
C15.3,Malignant neoplasm of upper third of esophagus
C15.4,Malignant neoplasm of middle third of esophagus
C15.5,Malignant neoplasm of lower third of esophagus
C15.8,Malignant neoplasm of overlapping sites of esophagus
C15.9,"Malignant neoplasm of esophagus, unspecified"
C16.0,Malignant neoplasm of cardia
C16.1,Malignant neoplasm of fundus of stomach
C16.2,Malignant neoplasm of body of stomach
C16.3,Malignant neoplasm of pyloric antrum
C16.4,Malignant neoplasm of pylorus
C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified"
C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified"
C16.8,Malignant neoplasm of overlapping sites of stomach
C16.9,"Malignant neoplasm of stomach, unspecified"
C17.0,Malignant neoplasm of duodenum
C17.1,Malignant neoplasm of jejunum
C17.2,Malignant neoplasm of ileum
C17.3,"Meckel's diverticulum, malignant"
C17.8,Malignant neoplasm of overlapping sites of small intestine
C17.9,"Malignant neoplasm of small intestine, unspecified"
C18.0,Malignant neoplasm of cecum
C18.1,Malignant neoplasm of appendix
C18.2,Malignant neoplasm of ascending colon
C18.3,Malignant neoplasm of hepatic flexure
C18.4,Malignant neoplasm of transverse colon
C18.5,Malignant neoplasm of splenic flexure
C18.6,Malignant neoplasm of descending colon
C18.7,Malignant neoplasm of sigmoid colon
C18.8,Malignant neoplasm of overlapping sites of colon
C18.9,"Malignant neoplasm of colon, unspecified"
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C21.0,"Malignant neoplasm of anus, unspecified"
C21.1,Malignant neoplasm of anal canal
C21.2,Malignant neoplasm of cloacogenic zone
C21.8,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal"
C22.0,Liver cell carcinoma
C22.1,Intrahepatic bile duct carcinoma
C22.2,Hepatoblastoma
C22.3,Angiosarcoma of liver
C22.4,Other sarcomas of liver
C22.7,Other specified carcinomas of liver
C22.8,"Malignant neoplasm of liver, primary, unspecified as to type"
C22.9,"Malignant neoplasm of liver, not specified as primary or secondary"
C23,Malignant neoplasm of gallbladder
C24.0,Malignant neoplasm of extrahepatic bile duct
C24.1,Malignant neoplasm of ampulla of Vater
C24.8,Malignant neoplasm of overlapping sites of biliary tract
C24.9,"Malignant neoplasm of biliary tract, unspecified"
C25.0,Malignant neoplasm of head of pancreas
C25.1,Malignant neoplasm of body of pancreas
C25.2,Malignant neoplasm of tail of pancreas
C25.3,Malignant neoplasm of pancreatic duct
C25.4,Malignant neoplasm of endocrine pancreas
C25.7,Malignant neoplasm of other parts of pancreas
C25.8,Malignant neoplasm of overlapping sites of pancreas
C25.9,"Malignant neoplasm of pancreas, unspecified"
C26.0,"Malignant neoplasm of intestinal tract, part unspecified"
C26.1,Malignant neoplasm of spleen
C26.9,Malignant neoplasm of ill-defined sites within the digestive system
C30.0,Malignant neoplasm of nasal cavity
C30.1,Malignant neoplasm of middle ear
C31.0,Malignant neoplasm of maxillary sinus
C31.1,Malignant neoplasm of ethmoidal sinus
C31.2,Malignant neoplasm of frontal sinus
C31.3,Malignant neoplasm of sphenoid sinus
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses
C31.9,"Malignant neoplasm of accessory sinus, unspecified"
C32.0,Malignant neoplasm of glottis
C32.1,Malignant neoplasm of supraglottis
C32.2,Malignant neoplasm of subglottis
C32.3,Malignant neoplasm of laryngeal cartilage
C32.8,Malignant neoplasm of overlapping sites of larynx
C32.9,"Malignant neoplasm of larynx, unspecified"
C33,Malignant neoplasm of trachea
C34.00,Malignant neoplasm of unspecified main bronchus
C34.01,Malignant neoplasm of right main bronchus
C34.02,Malignant neoplasm of left main bronchus
C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung"
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung"
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung"
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung"
C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung"
C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung"
C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung"
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung
C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung
C37,Malignant neoplasm of thymus
C38.0,Malignant neoplasm of heart
C38.1,Malignant neoplasm of anterior mediastinum
C38.2,Malignant neoplasm of posterior mediastinum
C38.3,"Malignant neoplasm of mediastinum, part unspecified"
C38.4,Malignant neoplasm of pleura
C38.8,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura"
